"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"112","Mats Zuccarello","MIN","R","7","34.633333333333","4","4","2","2","8","88.89","12","33.33","0.88","21","16","7","1","0","2","0","0","0","0","0","1","2","0","0","0","0","0","0","-"
"280","Leon Draisaitl","EDM","C","8","34.916666666667","2","5","4","1","7","70.00","6","33.33","1.17","13","11","9","1","0","1","0","0","0","0","0","0","2","2","0","3","0","16","15","51.61"
"294","David Pastrnak","BOS","R","8","37.5","2","5","1","4","7","100.00","15","13.33","1.53","27","20","12","2","0","2","0","0","0","0","0","0","3","1","1","2","0","0","0","-"
"329","Connor McDavid","EDM","C","8","34.483333333333","5","2","2","0","7","77.78","13","38.46","2","14","13","10","5","0","0","0","0","0","0","0","0","1","0","0","2","1","0","2","0.00"
"48","Patrick Kane","CHI","R","7","27.266666666667","0","6","0","6","6","100.00","7","0.00","0.49","10","8","4","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"58","Steven Stamkos","T.B","C","8","38.033333333333","5","1","1","0","6","100.00","15","33.33","1.69","28","19","16","3","4","0","2","1","1","0","0","0","1","0","0","3","0","7","6","53.85"
"82","John Tavares","TOR","C","8","36.933333333333","3","3","1","2","6","100.00","12","25.00","2.62","17","14","16","12","0","4","0","0","0","0","0","0","2","0","0","2","0","20","14","58.82"
"166","Ryan Nugent-Hopkins","EDM","C","8","33.766666666667","1","5","0","5","6","66.67","8","12.50","1.08","9","9","7","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.00"
"243","Andre Burakovsky","SEA","L","9","27.716666666667","2","4","2","2","6","75.00","6","33.33","0.54","11","8","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"264","Valeri Nichushkin","COL","R","7","22.366666666667","5","1","0","1","6","66.67","5","100.00","0.81","9","6","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"335","Mikko Rantanen","COL","R","7","22.283333333333","0","6","5","1","6","66.67","2","0.00","0.55","6","6","3","0","1","2","0","0","0","0","0","0","1","0","0","4","0","3","7","30.00"
"364","Artemi Panarin","NYR","L","8","39.15","1","5","2","3","6","100.00","7","14.29","0.94","15","12","5","0","0","2","2","1","1","0","0","0","2","0","1","0","0","0","0","-"
"371","Kirill Kaprizov","MIN","L","7","37.25","2","4","3","1","6","66.67","15","13.33","2.1","28","20","14","4","0","4","0","0","0","0","0","1","0","0","0","0","1","0","0","-"
