"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"98","Matthew Berlin","EDM","1","2.4333333333333","1","1","0","1.000","0.00","0.10","0.01","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.04","0","0","51.00","-"
"89","Ivan Prosvetov","ARI","3","179.5","105","100","5","0.952","1.67","5.08","11.25","26","24","2","0.923","0.67","2.64","30","27","3","0.900","1.00","0.21","47","47","0","1.000","0.00","1.85","8","22","34.99","19.40"
"24","Keith Kinkaid","BOS, COL","2","87.85","40","38","2","0.950","1.37","1.84","4.17","12","10","2","0.833","1.37","0.14","10","10","0","1.000","0.00","1.07","16","16","0","1.000","0.00","0.63","1","7","36.30","10.00"
"78","Dylan Ferguson","OTT","2","118.86666666667","83","78","5","0.940","2.52","2.97","8.02","24","22","2","0.917","1.01","2.29","30","27","3","0.900","1.51","0.21","26","26","0","1.000","0.00","1.02","12","15","34.04","18.20"
"35","Linus Ullmark","BOS","45","2646.8333333333","1342","1258","84","0.937","1.90","44.80","118.41","370","320","50","0.865","1.13","16.06","351","334","17","0.952","0.39","20.57","521","504","17","0.967","0.39","3.48","130","202","37.33","20.55"
"66","Joseph Woll","TOR","4","236.43333333333","121","113","8","0.934","2.03","3.61","11.06","33","27","6","0.818","1.52","-0.11","39","38","1","0.974","0.25","3.17","44","43","1","0.977","0.25","0.73","4","16","31.27","17.88"
"47","Jonas Johansson","COL","3","142.95","73","68","5","0.932","2.10","2.01","8.3","25","21","4","0.840","1.68","0.46","18","17","1","0.944","0.42","0.93","29","29","0","1.000","0.00","1.14","5","16","29.42","11.60"
"69","Filip Gustavsson","MIN","34","2003.5333333333","990","923","67","0.932","2.01","28.02","88.27","243","208","35","0.856","1.05","8.39","289","265","24","0.917","0.72","6.93","406","398","8","0.980","0.24","7.96","88","135","35.67","19.67"
"77","Jiri Patera","VGK","2","120","70","65","5","0.929","2.50","1.72","7.87","22","18","4","0.818","2.00","-0.07","20","20","0","1.000","0.00","2.14","23","22","1","0.957","0.50","-0.10","4","13","31.69","11.20"
"25","Laurent Brossoit","VGK","5","273.13333333333","145","134","11","0.924","2.42","2.92","12.71","50","44","6","0.880","1.32","2.93","53","48","5","0.906","1.10","0.67","39","39","0","1.000","0.00","1.53","8","15","30.10","16.82"
