"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","73","3536.4333","19","39","15","18","53","0.363","3322","3411","49.34","2424","2509","49.14","1726","1781","49.22","151","194","43.77","168.27","155.94","51.90","1885","1774","51.52","1068","1002","51.59","129","177","42.16","12.08","82.34","837","694","54.67","555","471","54.09","84","96","46.67","15.14","79.62","1048","1080","49.25","513","531","49.14","45","81","35.71","8.77","84.75","1203","1393","46.34","588","689","46.05","22","17","56.41","3.74","97.53","8.75","89.11","0.979"
"2","Nashville Predators","72","3419.9167","36","28","8","31","80","0.556","3226","3440","48.39","2344","2559","47.81","1638","1820","47.37","133","135","49.63","151.72","163.79","48.09","1654","1786","48.08","904","1031","46.72","111","118","48.47","12.28","88.55","682","724","48.51","459","506","47.56","76","73","51.01","16.56","85.57","972","1062","47.79","445","525","45.88","35","45","43.75","7.87","91.43","1342","1405","48.85","664","694","48.90","22","17","56.41","3.31","97.55","8.12","92.58","1.007"
"3","Tampa Bay Lightning","74","3529.45","42","26","6","39","90","0.608","3435","3214","51.66","2566","2410","51.57","1797","1773","50.34","155","145","51.67","167.88","153.38","52.26","1924","1671","53.52","1077","974","52.51","134","121","52.55","12.44","87.58","840","686","55.05","554","501","52.51","96","69","58.18","17.33","86.23","1084","985","52.39","523","473","52.51","38","52","42.22","7.27","89.01","1324","1333","49.83","658","725","47.58","20","24","45.45","3.04","96.69","8.63","91.82","1.004"
"4","New York Rangers","73","3557","43","20","10","39","96","0.658","3263","3273","49.92","2417","2382","50.36","1752","1720","50.46","160","138","53.69","149.95","154.15","49.31","1664","1704","49.41","914","956","48.88","132","109","54.77","14.44","88.60","686","725","48.62","464","502","48.03","87","72","54.72","18.75","85.66","978","979","49.97","450","454","49.78","45","37","54.88","10.00","91.85","1360","1300","51.13","763","681","52.84","28","29","49.12","3.67","95.74","9.13","91.98","1.011"
"5","Vegas Golden Knights","73","3670.35","46","21","6","42","98","0.671","3458","3683","48.42","2523","2583","49.41","1847","1831","50.22","165","145","53.23","161.25","156.55","50.74","1713","1798","48.79","1013","970","51.08","146","122","54.48","14.41","87.42","748","675","52.57","537","475","53.06","92","75","55.09","17.13","84.21","965","1123","46.22","476","495","49.02","54","47","53.47","11.34","90.51","1401","1588","46.87","720","767","48.42","19","22","46.34","2.64","97.13","8.93","92.08","1.010"
"6","Los Angeles Kings","73","3485.4833","43","20","10","37","96","0.658","3434","3126","52.35","2577","2198","53.97","1858","1513","55.12","158","145","52.15","159.03","138.43","53.46","1801","1596","53.02","1051","840","55.58","138","119","53.70","13.13","85.83","767","639","54.55","538","418","56.28","84","78","51.85","15.61","81.34","1034","957","51.93","513","422","54.87","54","41","56.84","10.53","90.28","1400","1267","52.49","739","586","55.77","20","26","43.48","2.71","95.56","8.50","90.42","0.989"
"7","Boston Bruins","73","3435.6167","57","11","5","54","119","0.815","3237","3156","50.63","2447","2322","51.31","1815","1657","52.28","181","99","64.64","157.82","138.99","53.17","1785","1590","52.89","1064","869","55.04","154","84","64.71","14.47","90.33","740","639","53.66","544","447","54.89","98","53","64.90","18.01","88.14","1045","951","52.35","520","422","55.20","56","31","64.37","10.77","92.65","1282","1327","49.14","674","678","49.85","27","15","64.29","4.01","97.79","9.97","94.03","1.040"
"8","Washington Capitals","74","3581.4","34","32","8","32","76","0.514","3504","3402","50.74","2554","2524","50.30","1827","1783","50.61","158","163","49.22","161.4","158.5","50.45","1736","1694","50.61","995","972","50.58","144","133","51.99","14.47","86.32","724","710","50.49","508","485","51.16","91","87","51.12","17.91","82.06","1012","984","50.70","487","487","50.00","53","46","53.54","10.88","90.55","1452","1429","50.40","714","717","49.90","14","30","31.82","1.96","95.82","8.65","90.86","0.995"
"9","Columbus Blue Jackets","72","3541.2667","23","42","7","22","53","0.368","3196","3844","45.40","2333","2831","45.18","1664","2035","44.99","131","199","39.70","142.66","173.24","45.16","1539","1887","44.92","896","1068","45.62","106","167","38.83","11.83","84.36","599","768","43.82","418","530","44.09","62","103","37.58","14.83","80.57","940","1119","45.65","478","538","47.05","44","64","40.74","9.21","88.10","1368","1665","45.10","685","880","43.77","25","32","43.86","3.65","96.36","7.87","90.22","0.981"
"10","Carolina Hurricanes","72","3457.0667","47","16","9","43","103","0.715","3880","2560","60.25","2907","1964","59.68","1960","1425","57.90","157","122","56.27","181.96","123.01","59.66","1888","1272","59.75","1049","779","57.39","136","107","55.97","12.96","86.26","847","605","58.33","573","426","57.36","95","66","59.01","16.58","84.51","1041","667","60.95","476","353","57.42","41","41","50.00","8.61","88.39","1677","1011","62.39","848","531","61.49","21","15","58.33","2.48","97.18","8.01","91.44","0.994"
