"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"419","Connor McDavid","EDM","C","46","1038.0833333333","38","46","31","15","84","84.00","187","20.32","23.48","277","236","200","83","10","20","20","10","10","0","0","23","49","42","40","68","24","279","279","50.00"
"352","Leon Draisaitl","EDM","C","44","972.73333333333","26","44","36","8","70","68.63","141","18.44","17.63","235","195","144","59","3","25","20","10","10","0","0","16","57","38","34","82","28","430","381","53.02"
"199","Nikita Kucherov","T.B","R","42","863.45","17","45","26","19","62","76.54","148","11.49","16.49","294","213","170","58","30","28","22","11","11","0","0","22","51","27","35","55","16","0","0","-"
"369","David Pastrnak","BOS","R","43","850.11666666667","35","27","18","9","62","75.61","215","16.28","21.58","389","286","194","62","15","30","24","11","11","0","0","17","67","27","46","69","15","5","7","41.67"
"613","Jason Robertson","DAL","L","45","841.9","29","31","20","11","60","75.95","179","16.20","19.22","326","235","185","70","5","32","8","4","4","0","0","4","35","37","28","44","7","0","1","0.00"
"548","Tage Thompson","BUF","C, R","43","823.06666666667","32","27","16","11","59","73.75","182","17.58","18.38","317","244","188","75","9","23","18","9","9","0","0","11","19","26","22","48","11","219","305","41.79"
"75","Erik Karlsson","S.J","D","45","1142.3166666667","14","44","25","19","58","64.44","121","11.57","7.67","286","164","117","16","27","22","10","5","5","0","0","10","58","34","18","59","48","0","0","-"
"496","Matthew Tkachuk","FLA","L","43","867.16666666667","22","34","17","17","56","70.00","157","14.01","23.23","281","215","188","103","10","34","67","24","21","1","2","23","36","17","28","38","17","8","13","38.10"
"760","Jack Hughes","N.J","C","44","880.48333333333","29","26","14","12","55","74.32","199","14.57","23.41","319","247","203","75","31","23","4","2","2","0","0","20","46","35","9","68","9","57","121","32.02"
"415","Kyle Connor","WPG","L","45","914.93333333333","22","32","23","9","54","72.00","151","14.57","17.74","273","206","187","75","5","21","6","3","3","0","0","4","23","20","25","38","16","1","4","20.00"
"458","Mitchell Marner","TOR","R","45","954.1","16","38","19","19","54","75.00","107","14.95","11.53","229","152","111","31","7","15","18","9","9","0","0","8","50","51","39","67","26","0","2","0.00"
"200","Ryan Nugent-Hopkins","EDM","C","46","909.31666666667","21","32","13","19","53","58.89","110","19.09","15.27","181","146","126","57","5","13","24","11","11","0","0","6","15","27","33","43","19","212","253","45.59"
"428","Mikko Rantanen","COL","R","42","963.98333333333","29","24","19","5","53","67.09","162","17.90","16.56","275","220","138","48","7","20","30","15","15","0","0","18","20","29","52","65","19","115","145","44.23"
"10","Alex Ovechkin","WSH","L","47","966.03333333333","30","22","12","10","52","72.22","203","14.78","25.75","404","291","188","69","9","40","20","9","9","0","0","8","29","23","125","26","14","3","4","42.86"
"480","Kirill Kaprizov","MIN","L","43","888.58333333333","25","27","20","7","52","76.47","168","14.88","20.57","317","236","193","68","5","22","21","9","8","1","0","21","22","27","36","68","17","1","3","25.00"
"606","Elias Pettersson","VAN","C","41","816.68333333333","18","34","22","12","52","69.33","141","12.77","15.92","269","205","152","53","6","19","6","3","3","0","0","12","24","30","36","45","48","216","275","43.99"
"156","Zach Hyman","EDM","L","45","928.51666666667","21","29","14","15","50","55.56","176","11.93","28.16","265","228","233","146","5","25","25","11","10","1","0","15","16","24","50","96","13","4","3","57.14"
"355","William Nylander","TOR","R","45","845.56666666667","24","26","18","8","50","66.67","160","15.00","18.82","273","216","173","77","13","17","12","6","6","0","0","12","20","43","12","60","13","17","25","40.48"
"17","Sidney Crosby","PIT","C","43","869.1","21","28","16","12","49","75.38","118","17.80","16.22","223","166","138","66","13","26","22","11","11","0","0","9","35","35","48","50","23","490","450","52.13"
"69","Steven Stamkos","T.B","C","42","803.08333333333","18","31","18","13","49","65.33","145","12.41","18.76","264","202","168","62","27","30","20","10","10","0","0","7","32","16","43","47","30","264","216","55.00"
